 Force (Kg f), RPM, Current (A), Voltage (V), Power (W),PWM, Efficiency (g/W)
0.33,917,0.4,14,5.6,1580,58.3
0.36,967,0.4,14,5.6,1584,64.8
0.39,1007,0.44,14,6.2,1588,64.1
0.43,1048,0.5,14,7,1592,60.9
0.46,1092,0.6,14,8.4,1596,55.1
0.5,1136,0.7,14,9.8,1600,50.9
0.53,1169,0.7,14,9.8,1604,54.2
0.58,1214,0.8,14,11.2,1608,51.4
0.62,1252,0.9,14,12.6,1612,49.3
0.64,1287,1,14,14,1616,46
0.69,1322,1,14,14,1620,49.2
0.73,1354,1.18,14,16.5,1624,43.9
0.77,1397,1.3,14,18.2,1628,42.1
0.83,1432,1.34,14,18.8,1632,44
0.85,1470,1.5,14,21,1636,40.4
0.89,1499,1.6,14,22.4,1640,39.7
0.92,1532,1.7,14,23.8,1644,38.7
0.97,1562,1.8,14,25.2,1648,38.3
1,1597,1.9,14,26.6,1652,37.5
1.05,1628,2.1,14,29.4,1656,35.8
1.09,1669,2.2,14,30.8,1660,35.5
1.14,1700,2.3,14,32.2,1664,35.5
1.2,1731,2.56,14,35.8,1668,33.5
1.23,1761,2.8,14,39.2,1672,31.5
1.28,1793,2.9,14,40.6,1676,31.5
1.32,1817,3.1,14,43.4,1680,30.5
1.37,1849,3.2,14,44.8,1684,30.5
1.41,1878,3.4,14,47.6,1688,29.5
1.46,1912,3.57,14,50,1692,29.2
1.51,1934,3.7,14,51.8,1696,29.2
1.55,1967,3.9,14,54.6,1700,28.4
1.61,1999,4.1,14,57.4,1704,28
1.65,2032,4.31,14,60.3,1708,27.4
1.71,2064,4.51,14,63.1,1712,27.1
1.76,2085,4.79,14,67.1,1716,26.2
1.81,2114,5,14,70,1720,25.9
1.85,2145,5.2,14,72.8,1724,25.4
1.91,2175,5.4,14,75.6,1728,25.3
1.96,2201,5.6,14,78.4,1732,25.1
2,2228,5.8,14,81.2,1736,24.7
2.09,2245,6.1,14,85.4,1740,24.4
2.12,2285,6.3,14,88.2,1744,24
2.16,2312,6.57,14,92,1748,23.5
2.25,2337,6.8,14,95.2,1752,23.6
2.27,2375,7.1,14,99.4,1756,22.8
2.34,2411,7.4,14,103.6,1760,22.6
2.43,2437,7.74,14,108.4,1764,22.4
2.5,2464,8.09,14,113.3,1768,22.1
2.56,2498,8.4,14,117.6,1772,21.8
2.64,2539,8.7,14,121.8,1776,21.6
2.66,2583,8.95,14,125.3,1780,21.2
2.76,2592,9.39,14,131.5,1784,21
2.78,2617,9.6,14,134.4,1788,20.7
2.88,2652,10,14,140,1792,20.6
2.93,2659,10.3,14,144.2,1796,20.4
2.99,2693,10.6,14,148.4,1800,20.2
3.05,2714,10.86,14,152,1804,20
3.13,2751,11.29,14,158.1,1808,19.8
3.19,2773,11.57,14,162,1812,19.7
3.23,2795,11.9,14,166.6,1816,19.4
3.32,2815,12.3,14,172.2,1820,19.3
3.36,2855,12.6,14,176.4,1824,19.1
3.42,2878,12.95,14,181.3,1828,18.9
3.49,2901,13.37,14,187.2,1832,18.7
3.57,2926,13.72,14,192.1,1836,18.6
3.62,2957,14.14,14,198,1840,18.3
3.69,2984,14.5,14,203,1844,18.2
3.77,3011,14.96,14,209.4,1848,18
3.84,3035,15.36,14,215,1852,17.8
3.92,3048,15.89,14,222.5,1856,17.6
3.98,3087,16.24,14,227.4,1860,17.5
4.03,3114,16.72,14,234.1,1864,17.2
4.11,3139,17.18,14,240.5,1868,17.1
4.15,3159,17.65,14,247.1,1872,16.8
4.21,3183,18.08,14,253.1,1876,16.6
4.3,3195,18.63,14,260.8,1880,16.5
4.38,3218,19.08,14,267.1,1884,16.4
4.42,3243,19.56,14,273.8,1888,16.2
4.51,3263,20.07,14,281,1892,16
4.52,3279,20.36,14,285,1900,15.9
4.53,3288,20.29,14,284.1,1896,15.9
